left_eye_from_center,right_eye_from_center,time_start,time_end,left_eye_dim,right_eye_dim
"[-2.0, -1.0]","[2.0, -1.5]",5.3621604442596436,5.408185005187988,"(25, 38)","(25, 38)"
"[-2.0, -0.5]","[2.0, -1.5]",5.408185005187988,5.456021547317505,"(25, 38)","(26, 39)"
"[-2.0, -0.5]","[1.5, -1.0]",5.456021547317505,5.519235372543335,"(25, 38)","(26, 39)"
"[-2.0, -0.5]","[1.5, -1.0]",5.519235372543335,5.581889867782593,"(26, 38)","(26, 39)"
"[-2.0, -1.0]","[2.5, -1.0]",5.581889867782593,5.629356622695923,"(26, 38)","(26, 39)"
"[-2.0, -1.0]","[2.5, -1.0]",5.629356622695923,5.675244331359863,"(25, 38)","(26, 39)"
"[-1.0, -1.5]","[2.5, -1.0]",5.675244331359863,5.721469163894653,"(24, 45)","(24, 44)"
"[1.5, 0.0]","[3.0, -1.0]",5.721469163894653,5.7680346965789795,"(26, 46)","(26, 46)"
"[-6.0, -1.0]","[0.0, 0.0]",5.7680346965789795,5.814651012420654,"(26, 46)","(26, 46)"
"[-6.0, -1.0]","[0.0, 0.0]",5.814651012420654,5.87710428237915,"(26, 47)","(27, 48)"
"[-4.5, -1.0]","[-1.0, -0.5]",5.87710428237915,5.9246392250061035,"(26, 47)","(27, 48)"
"[-4.5, -1.0]","[-1.0, -0.5]",5.9246392250061035,5.971578121185303,"(27, 47)","(27, 47)"
"[-6.5, -1.5]","[-0.5, -0.5]",5.971578121185303,6.01831316947937,"(27, 47)","(27, 47)"
"[-6.5, -1.5]","[-0.5, -0.5]",6.01831316947937,6.064925193786621,"(27, 47)","(27, 47)"
"[-6.5, -1.5]","[-0.5, -0.5]",6.064925193786621,6.111809492111206,"(23, 38)","(24, 41)"
"[2.0, -0.5]","[0.5, -1.0]",6.111809492111206,6.174016952514648,"(24, 38)","(24, 41)"
"[2.0, -1.0]","[1.5, -1.0]",6.174016952514648,6.220442771911621,"(24, 38)","(24, 41)"
"[2.0, -1.0]","[1.5, -1.0]",6.220442771911621,6.267826080322266,"(24, 38)","(24, 40)"
"[2.0, -1.0]","[3.0, -1.0]",6.267826080322266,6.3307037353515625,"(24, 38)","(24, 40)"
"[1.0, -1.0]","[1.0, -1.0]",6.3307037353515625,6.376436233520508,"(24, 38)","(24, 40)"
"[1.0, -1.0]","[1.0, -1.0]",6.376436233520508,6.4240758419036865,"(24, 38)","(24, 40)"
"[2.0, -1.0]","[0.0, -1.0]",6.4240758419036865,6.470401287078857,"(25, 38)","(24, 40)"
"[0.0, -1.5]","[2.0, -1.0]",6.470401287078857,6.517306804656982,"(25, 38)","(24, 40)"
"[0.0, -1.5]","[2.0, -1.0]",6.517306804656982,6.564385890960693,"(26, 41)","(26, 42)"
"[-0.5, -1.0]","[1.0, -1.0]",6.564385890960693,6.610803604125977,"(26, 42)","(27, 44)"
"[0.0, -1.0]","[-2.0, -0.5]",6.610803604125977,6.6573638916015625,"(26, 43)","(27, 44)"
"[0.5, -1.0]","[-1.0, -0.5]",6.6573638916015625,6.7193193435668945,"(26, 43)","(27, 44)"
"[0.5, -1.0]","[-1.0, -0.5]",6.7193193435668945,6.766248464584351,"(26, 42)","(27, 44)"
"[0.0, -1.0]","[-2.0, -0.5]",6.766248464584351,6.813641309738159,"(26, 42)","(27, 44)"
"[0.0, -1.0]","[-2.0, -0.5]",6.813641309738159,6.860009431838989,"(26, 42)","(27, 44)"
"[0.0, -1.0]","[-2.0, -0.5]",6.860009431838989,6.907686471939087,"(25, 39)","(25, 41)"
"[-1.5, -1.5]","[1.5, -0.5]",6.907686471939087,6.955427408218384,"(25, 40)","(26, 41)"
"[-2.0, -1.5]","[1.5, -1.0]",6.955427408218384,7.0178844928741455,"(25, 40)","(26, 41)"
"[-2.0, -1.5]","[1.5, -1.0]",7.0178844928741455,7.064615488052368,"(25, 40)","(25, 41)"
"[-3.0, -1.5]","[1.5, -0.5]",7.064615488052368,7.110498905181885,"(25, 40)","(25, 41)"
"[-3.0, -1.5]","[1.5, -0.5]",7.110498905181885,7.157521963119507,"(25, 41)","(25, 40)"
"[-3.5, -1.5]","[1.0, -1.5]",7.157521963119507,7.204282283782959,"(26, 43)","(27, 44)"
"[-2.5, -1.0]","[-2.0, -0.5]",7.204282283782959,7.266962766647339,"(26, 43)","(27, 44)"
"[-2.5, -1.0]","[-2.0, -0.5]",7.266962766647339,7.313595294952393,"(26, 41)","(25, 42)"
"[-1.5, -1.0]","[0.0, -0.5]",7.313595294952393,7.376083135604858,"(25, 41)","(25, 41)"
"[-1.5, -0.5]","[-0.5, -0.5]",7.376083135604858,7.439161539077759,"(25, 41)","(25, 41)"
"[-1.5, -0.5]","[-0.5, -0.5]",7.439161539077759,7.486070156097412,"(25, 42)","(24, 41)"
"[-2.0, -0.5]","[1.5, -1.0]",7.486070156097412,7.5482704639434814,"(25, 42)","(25, 41)"
"[-2.0, -1.5]","[1.5, -0.5]",7.5482704639434814,7.594484090805054,"(25, 42)","(25, 41)"
"[-2.0, -1.5]","[1.5, -0.5]",7.594484090805054,7.640652894973755,"(25, 42)","(25, 42)"
"[-3.0, -1.5]","[2.0, -0.5]",7.640652894973755,7.687824010848999,"(25, 42)","(25, 42)"
"[-3.0, -1.5]","[2.0, -0.5]",7.687824010848999,7.750383615493774,"(25, 42)","(26, 42)"
"[-3.0, -0.5]","[2.0, -1.0]",7.750383615493774,7.797957181930542,"(26, 42)","(26, 41)"
"[-3.0, -1.0]","[2.5, -1.0]",7.797957181930542,7.844218015670776,"(26, 42)","(26, 42)"
"[-3.0, -1.0]","[2.0, -1.0]",7.844218015670776,7.890259504318237,"(26, 42)","(26, 42)"
"[-3.0, -1.0]","[2.0, -1.0]",7.890259504318237,7.93809175491333,"(26, 42)","(26, 43)"
"[-3.0, -1.0]","[1.5, -1.0]",7.93809175491333,7.984419107437134,"(26, 42)","(26, 43)"
"[-3.0, -1.0]","[1.5, -1.0]",7.984419107437134,8.031435012817383,"(26, 43)","(26, 42)"
"[-3.5, -1.0]","[2.0, -1.0]",8.031435012817383,8.078346967697144,"(24, 42)","(25, 42)"
"[-2.0, -1.0]","[2.0, -0.5]",8.078346967697144,8.126372337341309,"(24, 42)","(24, 42)"
"[-2.0, -1.0]","[3.0, -1.0]",8.126372337341309,8.189150094985962,"(24, 42)","(24, 42)"
"[-2.0, -1.0]","[3.0, -1.0]",8.189150094985962,8.235992908477783,"(24, 42)","(25, 42)"
"[-3.0, -1.0]","[2.0, -0.5]",8.235992908477783,8.282156944274902,"(24, 43)","(25, 43)"
"[-2.5, -1.0]","[2.5, -0.5]",8.282156944274902,8.329513311386108,"(24, 43)","(25, 43)"
"[-2.5, -1.0]","[2.5, -0.5]",8.329513311386108,8.391762733459473,"(25, 43)","(25, 43)"
"[-2.5, -0.5]","[3.5, -0.5]",8.391762733459473,8.437498807907104,"(25, 43)","(25, 43)"
"[-2.5, -1.5]","[2.5, -0.5]",8.437498807907104,8.484135150909424,"(25, 43)","(25, 43)"
"[-2.5, -1.5]","[2.5, -0.5]",8.484135150909424,8.531325101852417,"(25, 44)","(25, 43)"
"[-3.0, -0.5]","[2.5, -0.5]",8.531325101852417,8.578569173812866,"(24, 43)","(25, 43)"
"[-1.5, -1.0]","[3.5, -0.5]",8.578569173812866,8.62514328956604,"(24, 43)","(25, 43)"
"[-1.5, -1.0]","[3.5, -0.5]",8.62514328956604,8.686962604522705,"(25, 45)","(25, 44)"
"[-2.5, -0.5]","[4.0, -0.5]",8.686962604522705,8.73324179649353,"(25, 45)","(26, 45)"
