start_time,end_time,duration
5.721469163894653,5.814651012420654,0.09318184852600098
6.111809492111206,6.220442771911621,0.10863327980041504
6.267826080322266,6.376436233520508,0.10861015319824219
6.4240758419036865,6.517306804656982,0.0932309627532959
7.486070156097412,7.594484090805054,0.1084139347076416
8.078346967697144,8.437498807907104,0.35915184020996094
8.578569173812866,8.73324179649353,0.15467262268066406
9.014279127120972,9.171388864517212,0.15710973739624023
9.654640197753906,9.747238159179688,0.09259796142578125
10.123117923736572,10.372125148773193,0.2490072250366211
10.418737173080444,10.512431144714355,0.09369397163391113
10.559139490127563,10.698644876480103,0.13950538635253906
11.372202157974243,11.55898141860962,0.18677926063537598
12.602339506149292,12.697349309921265,0.09500980377197266
13.181581258773804,13.835177421569824,0.6535961627960205
18.633662939071655,18.835930585861206,0.20226764678955078
20.679154634475708,20.773308038711548,0.09415340423583984
20.821394443511963,20.96181297302246,0.14041852951049805
21.400214910507202,21.493415594100952,0.09320068359375
22.226179838180542,22.77233862876892,0.5461587905883789
23.256097316741943,23.599190950393677,0.3430936336517334
23.645345211029053,23.785926818847656,0.14058160781860352
24.286112070083618,25.050398111343384,0.7642860412597656
25.11297607421875,25.20616579055786,0.09318971633911133
25.253257989883423,25.610229969024658,0.35697197914123535
26.750380992889404,27.48525309562683,0.7348721027374268
27.81412672996521,27.921979904174805,0.10785317420959473
27.969318628311157,28.17104744911194,0.20172882080078125
28.626967191696167,28.922273635864258,0.2953064441680908
28.96940279006958,29.312135457992554,0.34273266792297363
30.490319967269897,30.72529625892639,0.23497629165649414
31.565333604812622,31.659308433532715,0.09397482872009277
31.70529055595398,32.080779790878296,0.3754892349243164
32.1269645690918,33.527175188064575,1.4002106189727783
33.57403755187988,34.05619955062866,0.4821619987487793
34.102882862091064,34.30586004257202,0.20297718048095703
34.3534619808197,34.464255571365356,0.1107935905456543
