left_eye_from_center,right_eye_from_center,start_time,end_time,left_eye_dim,right_eye_dim,left_eye_x,right_eye_x,duration,slide
"[-4.0, -1.5]","[7.5, -1.0]",16.2,16.233333333333334,"(34, 86)","(36, 84)",-4.0,7.5,0.03333333333333499,4
"[-9.0, -1.0]","[3.0, -1.0]",16.233333333333334,16.266666666666666,"(34, 85)","(36, 83)",-9.0,3.0,0.03333333333333144,4
"[-9.5, -1.0]","[2.5, 0.0]",16.266666666666666,16.3,"(35, 85)","(38, 84)",-9.5,2.5,0.03333333333333499,4
"[-11.5, -0.5]","[0.0, -1.0]",16.3,16.333333333333332,"(36, 85)","(38, 82)",-11.5,0.0,0.03333333333333144,4
"[-10.5, -1.0]","[2.0, -1.0]",16.333333333333332,16.366666666666667,"(35, 87)","(37, 84)",-10.5,2.0,0.03333333333333499,4
"[-10.5, -1.5]","[3.0, -1.5]",16.366666666666667,16.4,"(35, 87)","(37, 83)",-10.5,3.0,0.03333333333333144,4
"[-10.5, -1.5]","[3.5, -0.5]",16.4,16.433333333333334,"(35, 86)","(37, 84)",-10.5,3.5,0.03333333333333499,4
"[-9.0, -0.5]","[4.0, -0.5]",16.433333333333334,16.466666666666665,"(36, 86)","(38, 86)",-9.0,4.0,0.03333333333333144,4
"[-9.0, -1.0]","[4.0, -1.0]",16.466666666666665,16.5,"(36, 87)","(37, 85)",-9.0,4.0,0.03333333333333499,4
"[-8.5, -1.0]","[4.5, -0.5]",16.5,16.53333333333333,"(35, 88)","(38, 86)",-8.5,4.5,0.03333333333333144,4
"[-10.0, -1.5]","[2.0, -1.0]",16.53333333333333,16.566666666666666,"(35, 85)","(37, 82)",-10.0,2.0,0.03333333333333499,4
"[-9.5, -1.5]","[4.0, -1.5]",16.566666666666666,16.6,"(34, 87)","(37, 83)",-9.5,4.0,0.03333333333333499,4
"[-9.5, -1.0]","[3.5, -0.5]",16.6,16.633333333333333,"(36, 87)","(38, 85)",-9.5,3.5,0.03333333333333144,4
"[-9.5, -1.0]","[3.5, -1.0]",16.633333333333333,16.666666666666668,"(36, 87)","(38, 86)",-9.5,3.5,0.03333333333333499,4
"[-8.5, -1.0]","[3.0, -1.0]",16.666666666666668,16.7,"(35, 87)","(37, 85)",-8.5,3.0,0.03333333333333144,4
"[-9.5, -0.5]","[3.5, -0.5]",16.7,16.733333333333334,"(36, 87)","(37, 86)",-9.5,3.5,0.03333333333333499,4
"[-8.5, -1.0]","[3.0, -0.5]",16.733333333333334,16.766666666666666,"(34, 87)","(37, 86)",-8.5,3.0,0.03333333333333144,4
"[-8.5, -1.0]","[3.0, -1.5]",16.766666666666666,16.8,"(35, 88)","(37, 87)",-8.5,3.0,0.03333333333333499,4
"[-9.0, -1.5]","[3.5, -1.5]",16.8,16.833333333333332,"(35, 89)","(39, 88)",-9.0,3.5,0.03333333333333144,4
"[-9.5, -1.5]","[4.0, -1.5]",16.833333333333332,16.866666666666667,"(36, 86)","(38, 85)",-9.5,4.0,0.03333333333333499,4
"[-8.0, -1.0]","[4.5, -1.0]",16.866666666666667,16.9,"(34, 86)","(37, 85)",-8.0,4.5,0.03333333333333144,4
"[-8.0, -1.0]","[5.5, -0.5]",16.9,16.933333333333334,"(36, 87)","(38, 86)",-8.0,5.5,0.03333333333333499,4
"[-7.5, -1.0]","[5.0, -1.0]",16.933333333333334,16.966666666666665,"(34, 87)","(37, 85)",-7.5,5.0,0.03333333333333144,4
"[-6.5, -1.0]","[5.5, -0.5]",16.966666666666665,17.0,"(36, 87)","(37, 86)",-6.5,5.5,0.03333333333333499,4
"[-5.5, -1.0]","[6.0, -0.5]",17.0,17.03333333333333,"(36, 89)","(38, 88)",-5.5,6.0,0.03333333333333144,4
"[-4.5, -1.0]","[5.0, -1.0]",17.03333333333333,17.066666666666666,"(35, 88)","(36, 86)",-4.5,5.0,0.03333333333333499,4
"[-5.0, -1.5]","[6.0, -1.0]",17.066666666666666,17.1,"(35, 87)","(36, 84)",-5.0,6.0,0.03333333333333499,4
"[-5.5, -0.5]","[8.0, -1.0]",17.1,17.133333333333333,"(33, 89)","(37, 85)",-5.5,8.0,0.03333333333333144,4
"[-4.5, -1.5]","[5.5, -1.5]",17.133333333333333,17.166666666666668,"(34, 90)","(38, 87)",-4.5,5.5,0.03333333333333499,4
"[-5.0, -1.0]","[6.5, -1.0]",17.166666666666668,17.2,"(35, 89)","(38, 85)",-5.0,6.5,0.03333333333333144,4
"[-4.5, -1.5]","[6.5, -1.0]",17.2,17.233333333333334,"(36, 88)","(39, 85)",-4.5,6.5,0.03333333333333499,4
"[-3.0, -2.0]","[5.5, -0.5]",17.233333333333334,17.266666666666666,"(35, 87)","(39, 84)",-3.0,5.5,0.03333333333333144,4
"[-3.5, -1.5]","[7.0, -0.5]",17.266666666666666,17.3,"(31, 85)","(34, 79)",-3.5,7.0,0.03333333333333499,4
"[-10.5, -1.5]","[4.5, -1.0]",17.3,17.333333333333332,"(32, 84)","(35, 81)",-10.5,4.5,0.03333333333333144,4
"[-11.0, -1.0]","[1.5, -0.5]",17.333333333333332,17.366666666666667,"(33, 85)","(36, 81)",-11.0,1.5,0.03333333333333499,4
"[-11.5, -0.5]","[1.5, -1.0]",17.366666666666667,17.4,"(34, 87)","(36, 82)",-11.5,1.5,0.03333333333333144,4
"[-10.5, -1.0]","[2.0, -1.0]",17.4,17.433333333333334,"(33, 86)","(36, 83)",-10.5,2.0,0.03333333333333499,4
"[-11.0, -0.5]","[1.5, -1.0]",17.433333333333334,17.466666666666665,"(33, 86)","(36, 84)",-11.0,1.5,0.03333333333333144,4
"[-11.0, -0.5]","[1.0, -1.0]",17.466666666666665,17.5,"(34, 85)","(37, 83)",-11.0,1.0,0.03333333333333499,4
"[-10.5, -1.0]","[2.5, -0.5]",17.5,17.53333333333333,"(33, 86)","(35, 82)",-10.5,2.5,0.03333333333333144,4
"[-9.0, -0.5]","[4.0, -0.5]",17.53333333333333,17.566666666666666,"(34, 86)","(37, 83)",-9.0,4.0,0.03333333333333499,4
"[-9.0, -1.0]","[2.5, -0.5]",17.566666666666666,17.6,"(33, 85)","(36, 83)",-9.0,2.5,0.03333333333333499,4
"[-9.5, -0.5]","[3.5, -1.0]",17.6,17.633333333333333,"(34, 87)","(37, 84)",-9.5,3.5,0.03333333333333144,4
"[-9.5, -1.0]","[4.0, -0.5]",17.633333333333333,17.666666666666668,"(33, 85)","(36, 84)",-9.5,4.0,0.03333333333333499,4
"[-8.5, -0.5]","[5.0, -1.0]",17.666666666666668,17.7,"(34, 86)","(36, 83)",-8.5,5.0,0.03333333333333144,4
"[-8.0, -1.0]","[6.5, -1.0]",17.7,17.733333333333334,"(33, 86)","(37, 83)",-8.0,6.5,0.03333333333333499,4
"[-8.0, -1.5]","[4.5, -0.5]",17.733333333333334,17.766666666666666,"(33, 87)","(36, 85)",-8.0,4.5,0.03333333333333144,4
"[-7.5, -0.5]","[4.5, -1.0]",17.766666666666666,17.8,"(34, 86)","(37, 85)",-7.5,4.5,0.03333333333333499,4
"[-8.0, -1.0]","[5.5, -0.5]",17.8,17.833333333333332,"(34, 88)","(36, 84)",-8.0,5.5,0.03333333333333144,4
"[-8.0, -1.0]","[4.0, -1.0]",17.833333333333332,17.866666666666667,"(34, 88)","(37, 86)",-8.0,4.0,0.03333333333333499,4
"[-8.0, -1.0]","[4.0, -0.5]",17.866666666666667,17.9,"(34, 87)","(37, 84)",-8.0,4.0,0.03333333333333144,4
"[-7.5, -1.0]","[5.0, -0.5]",17.9,17.933333333333334,"(35, 89)","(38, 88)",-7.5,5.0,0.03333333333333499,4
"[-6.5, -1.5]","[4.0, -1.0]",17.933333333333334,17.966666666666665,"(33, 89)","(37, 89)",-6.5,4.0,0.03333333333333144,4
"[-7.5, -0.5]","[3.5, -1.5]",17.966666666666665,18.0,"(33, 89)","(37, 87)",-7.5,3.5,0.03333333333333499,4
"[-7.5, -0.5]","[2.5, -1.5]",18.0,18.03333333333333,"(34, 89)","(37, 88)",-7.5,2.5,0.03333333333333144,4
"[-7.5, -1.0]","[4.0, -1.5]",18.03333333333333,18.066666666666663,"(34, 89)","(37, 88)",-7.5,4.0,0.03333333333333144,4
"[-7.5, -1.0]","[4.0, -0.5]",18.066666666666663,18.1,"(34, 91)","(36, 90)",-7.5,4.0,0.033333333333338544,4
"[-6.5, -2.0]","[4.0, -1.0]",18.1,18.133333333333333,"(34, 91)","(37, 89)",-6.5,4.0,0.03333333333333144,4
"[-5.5, -2.0]","[5.5, -1.5]",18.133333333333333,18.166666666666668,"(35, 89)","(37, 86)",-5.5,5.5,0.03333333333333499,4
"[-4.5, -1.5]","[7.0, -0.5]",18.166666666666668,18.2,"(34, 89)","(38, 85)",-4.5,7.0,0.03333333333333144,4
"[-4.5, -1.0]","[6.5, -1.0]",18.2,18.233333333333334,"(34, 88)","(35, 85)",-4.5,6.5,0.03333333333333499,4
"[-5.0, -2.0]","[7.5, -0.5]",18.233333333333334,18.266666666666666,"(34, 88)","(36, 84)",-5.0,7.5,0.03333333333333144,4
"[-4.0, -2.0]","[9.0, -1.0]",18.266666666666666,18.3,"(34, 91)","(37, 89)",-4.0,9.0,0.03333333333333499,4
"[-4.5, -2.0]","[6.5, -0.5]",18.3,18.333333333333332,"(35, 91)","(38, 88)",-4.5,6.5,0.03333333333333144,5
"[-4.5, -1.5]","[6.0, -1.0]",18.333333333333332,18.366666666666667,"(36, 89)","(38, 86)",-4.5,6.0,0.03333333333333499,5
"[-9.5, -1.0]","[3.0, -1.0]",18.366666666666667,18.4,"(37, 88)","(38, 84)",-9.5,3.0,0.03333333333333144,5
"[-10.0, -0.5]","[4.0, -1.0]",18.4,18.433333333333337,"(36, 87)","(36, 83)",-10.0,4.0,0.033333333333338544,5
"[-11.5, -1.0]","[2.5, -1.0]",18.433333333333337,18.466666666666665,"(35, 88)","(36, 85)",-11.5,2.5,0.033333333333327886,5
"[-12.0, -1.5]","[2.5, -1.0]",18.466666666666665,18.5,"(35, 87)","(37, 86)",-12.0,2.5,0.03333333333333499,5
"[-11.5, -0.5]","[3.0, -1.5]",18.5,18.53333333333333,"(36, 86)","(38, 86)",-11.5,3.0,0.03333333333333144,5
"[-11.0, -1.0]","[4.0, -1.0]",18.53333333333333,18.566666666666663,"(35, 87)","(36, 89)",-11.0,4.0,0.03333333333333144,5
"[-10.5, -0.5]","[0.5, -1.0]",18.566666666666663,18.6,"(36, 88)","(37, 88)",-10.5,0.5,0.033333333333338544,5
"[-10.0, -1.0]","[2.0, -1.5]",18.6,18.633333333333333,"(35, 88)","(36, 88)",-10.0,2.0,0.03333333333333144,5
"[-11.0, -1.5]","[1.0, -1.0]",18.633333333333333,18.666666666666668,"(35, 87)","(36, 87)",-11.0,1.0,0.03333333333333499,5
"[-10.5, -0.5]","[2.5, -1.0]",18.666666666666668,18.7,"(36, 87)","(36, 87)",-10.5,2.5,0.03333333333333144,5
"[-9.5, -1.0]","[2.5, -1.0]",18.7,18.733333333333334,"(37, 88)","(37, 87)",-9.5,2.5,0.03333333333333499,5
"[-10.0, -0.5]","[3.5, -1.5]",18.733333333333334,18.766666666666666,"(36, 86)","(36, 86)",-10.0,3.5,0.03333333333333144,5
"[-10.0, -1.0]","[4.0, -1.0]",18.766666666666666,18.8,"(36, 88)","(37, 88)",-10.0,4.0,0.03333333333333499,5
"[-10.0, -1.0]","[2.0, -1.5]",18.8,18.833333333333332,"(35, 87)","(37, 88)",-10.0,2.0,0.03333333333333144,5
"[-9.5, -0.5]","[4.0, -0.5]",18.833333333333332,18.866666666666667,"(35, 88)","(36, 88)",-9.5,4.0,0.03333333333333499,5
"[-10.0, -0.5]","[4.0, -1.0]",18.866666666666667,18.9,"(36, 88)","(38, 88)",-10.0,4.0,0.03333333333333144,5
"[-8.0, -1.0]","[4.0, -1.0]",18.9,18.933333333333337,"(35, 89)","(36, 89)",-8.0,4.0,0.033333333333338544,5
"[-8.5, -1.5]","[3.5, -1.0]",18.933333333333337,18.966666666666665,"(35, 90)","(37, 89)",-8.5,3.5,0.033333333333327886,5
"[-9.0, -1.5]","[3.5, -0.5]",18.966666666666665,19.0,"(35, 87)","(37, 87)",-9.0,3.5,0.03333333333333499,5
"[-8.5, -1.5]","[4.5, -0.5]",19.0,19.03333333333333,"(35, 87)","(38, 87)",-8.5,4.5,0.03333333333333144,5
"[-8.5, -1.5]","[4.5, -1.0]",19.03333333333333,19.066666666666663,"(36, 88)","(37, 87)",-8.5,4.5,0.03333333333333144,5
"[-8.0, -1.0]","[5.5, -1.5]",19.066666666666663,19.1,"(35, 88)","(37, 88)",-8.0,5.5,0.033333333333338544,5
"[-8.0, -1.5]","[4.0, -0.5]",19.1,19.133333333333333,"(35, 88)","(38, 87)",-8.0,4.0,0.03333333333333144,5
"[-8.0, -1.5]","[3.5, -1.0]",19.133333333333333,19.166666666666668,"(35, 87)","(38, 87)",-8.0,3.5,0.03333333333333499,5
"[-8.5, -1.5]","[4.5, -1.0]",19.166666666666668,19.2,"(36, 87)","(38, 86)",-8.5,4.5,0.03333333333333144,5
"[-7.5, -1.0]","[4.0, -1.0]",19.2,19.233333333333334,"(35, 87)","(37, 85)",-7.5,4.0,0.03333333333333499,5
"[-7.5, -1.5]","[5.5, -0.5]",19.233333333333334,19.266666666666666,"(35, 88)","(38, 87)",-7.5,5.5,0.03333333333333144,5
"[-7.0, -1.5]","[5.5, -1.0]",19.266666666666666,19.3,"(35, 87)","(38, 87)",-7.0,5.5,0.03333333333333499,5
"[-7.5, -1.5]","[5.5, -1.0]",19.3,19.333333333333332,"(35, 87)","(38, 85)",-7.5,5.5,0.03333333333333144,5
"[-7.5, -1.5]","[6.5, -1.0]",19.333333333333332,19.366666666666667,"(35, 86)","(38, 86)",-7.5,6.5,0.03333333333333499,5
"[-6.0, -1.5]","[5.0, -1.0]",19.366666666666667,19.4,"(34, 85)","(37, 84)",-6.0,5.0,0.03333333333333144,5
"[-5.5, -1.0]","[8.0, -0.5]",19.4,19.433333333333337,"(35, 86)","(38, 87)",-5.5,8.0,0.033333333333338544,5
"[-5.0, -1.5]","[6.5, -1.0]",19.433333333333337,19.466666666666665,"(35, 88)","(38, 88)",-5.0,6.5,0.033333333333327886,5
"[-5.0, -1.5]","[7.0, 0.0]",19.466666666666665,19.5,"(36, 88)","(38, 87)",-5.0,7.0,0.03333333333333499,5
"[-5.0, -2.0]","[7.5, 0.0]",19.5,19.53333333333333,"(34, 86)","(38, 84)",-5.0,7.5,0.03333333333333144,5
"[-5.0, -1.0]","[7.0, 0.0]",19.53333333333333,19.566666666666663,"(36, 87)","(38, 85)",-5.0,7.0,0.03333333333333144,5
"[-5.5, -1.0]","[6.5, -1.0]",19.566666666666663,19.6,"(36, 87)","(39, 86)",-5.5,6.5,0.033333333333338544,5
"[-4.5, -1.0]","[7.0, -0.5]",19.6,19.633333333333333,"(35, 87)","(37, 85)",-4.5,7.0,0.03333333333333144,5
"[-3.5, -1.5]","[8.5, -0.5]",19.633333333333333,19.666666666666668,"(35, 88)","(39, 87)",-3.5,8.5,0.03333333333333499,5
"[-5.0, -1.5]","[7.5, -0.5]",19.666666666666668,19.7,"(36, 88)","(38, 86)",-5.0,7.5,0.03333333333333144,5
"[-5.0, -1.0]","[8.0, 0.0]",19.7,19.733333333333334,"(35, 87)","(37, 85)",-5.0,8.0,0.03333333333333499,5
"[-2.5, -1.5]","[8.5, -0.5]",19.733333333333334,19.766666666666666,"(36, 87)","(38, 86)",-2.5,8.5,0.03333333333333144,5
"[-2.5, -1.0]","[9.0, 0.0]",19.766666666666666,19.8,"(36, 87)","(38, 87)",-2.5,9.0,0.03333333333333499,5
"[-2.5, -2.0]","[8.5, 0.0]",19.8,19.833333333333332,"(36, 88)","(38, 87)",-2.5,8.5,0.03333333333333144,5
"[-2.0, -2.0]","[8.5, 0.0]",19.833333333333332,19.866666666666667,"(35, 87)","(38, 87)",-2.0,8.5,0.03333333333333499,5
"[-2.5, -1.5]","[10.5, -1.0]",19.866666666666667,19.9,"(35, 86)","(39, 86)",-2.5,10.5,0.03333333333333144,5
"[-1.0, -2.5]","[10.0, -0.5]",19.9,19.933333333333337,"(37, 84)","(40, 81)",-1.0,10.0,0.033333333333338544,5
"[-9.0, -1.5]","[4.5, -1.0]",19.933333333333337,19.966666666666665,"(37, 84)","(40, 81)",-9.0,4.5,0.033333333333327886,5
"[-10.0, -2.5]","[2.5, -1.0]",19.966666666666665,20.0,"(38, 81)","(42, 77)",-10.0,2.5,0.03333333333333499,5
"[-9.5, -3.0]","[3.5, -1.0]",20.0,20.03333333333333,"(36, 79)","(40, 78)",-9.5,3.5,0.03333333333333144,5
"[-9.5, -3.0]","[3.0, -1.0]",20.03333333333333,20.066666666666663,"(35, 81)","(38, 82)",-9.5,3.0,0.03333333333333144,5
"[-8.5, -1.5]","[2.0, -1.0]",20.066666666666663,20.1,"(33, 78)","(37, 76)",-8.5,2.0,0.033333333333338544,5
"[-7.0, -0.5]","[5.0, -0.5]",20.1,20.133333333333333,"(32, 77)","(34, 78)",-7.0,5.0,0.03333333333333144,5
"[-7.5, -1.0]","[4.0, -1.0]",20.133333333333333,20.166666666666668,"(32, 76)","(33, 78)",-7.5,4.0,0.03333333333333499,5
"[-7.0, -1.0]","[5.0, -1.5]",20.166666666666668,20.2,"(29, 76)","(31, 77)",-7.0,5.0,0.03333333333333144,5
"[-8.0, -1.5]","[3.5, -0.5]",20.2,20.233333333333334,"(33, 79)","(35, 81)",-8.0,3.5,0.03333333333333499,5
"[-10.5, -1.5]","[3.5, -1.5]",20.233333333333334,20.266666666666666,"(33, 80)","(36, 80)",-10.5,3.5,0.03333333333333144,5
"[-8.0, -1.5]","[4.0, -1.0]",20.266666666666666,20.3,"(33, 82)","(36, 85)",-8.0,4.0,0.03333333333333499,5
"[-9.0, -1.5]","[1.5, -1.0]",20.3,20.333333333333332,"(34, 81)","(37, 82)",-9.0,1.5,0.03333333333333144,5
"[-8.5, -2.0]","[2.0, -0.5]",20.333333333333332,20.366666666666667,"(34, 79)","(36, 80)",-8.5,2.0,0.03333333333333499,5
"[-8.5, -2.0]","[3.0, -1.0]",20.366666666666667,20.4,"(34, 80)","(36, 81)",-8.5,3.0,0.03333333333333144,5
"[-9.0, -1.0]","[2.5, -1.0]",20.4,20.433333333333337,"(32, 80)","(34, 81)",-9.0,2.5,0.033333333333338544,5
"[-8.0, -1.0]","[2.5, -1.0]",20.433333333333337,20.466666666666665,"(34, 82)","(36, 82)",-8.0,2.5,0.033333333333327886,5
"[-8.0, -1.0]","[3.0, -1.0]",20.466666666666665,20.5,"(35, 81)","(37, 82)",-8.0,3.0,0.03333333333333499,5
"[-9.5, -1.5]","[2.0, -1.5]",20.5,20.53333333333333,"(34, 83)","(36, 86)",-9.5,2.0,0.03333333333333144,5
"[-8.5, -1.0]","[0.0, -1.0]",20.53333333333333,20.566666666666663,"(35, 81)","(37, 81)",-8.5,0.0,0.03333333333333144,5
"[-8.5, -1.5]","[2.5, -1.5]",20.566666666666663,20.6,"(33, 81)","(36, 83)",-8.5,2.5,0.033333333333338544,5
"[-8.5, -1.5]","[4.5, -1.0]",20.6,20.633333333333333,"(34, 82)","(36, 86)",-8.5,4.5,0.03333333333333144,5
"[-8.0, -1.0]","[4.0, -1.0]",20.633333333333333,20.666666666666668,"(33, 83)","(36, 86)",-8.0,4.0,0.03333333333333499,5
"[-8.5, -1.5]","[3.0, -1.0]",20.666666666666668,20.7,"(33, 81)","(36, 85)",-8.5,3.0,0.03333333333333144,5
"[-7.5, -1.5]","[3.5, -1.0]",20.7,20.733333333333334,"(34, 82)","(37, 85)",-7.5,3.5,0.03333333333333499,5
"[-8.0, -2.0]","[2.5, -1.5]",20.733333333333334,20.766666666666666,"(35, 83)","(38, 86)",-8.0,2.5,0.03333333333333144,5
"[-8.5, -1.5]","[3.0, -1.0]",20.766666666666666,20.8,"(35, 85)","(38, 88)",-8.5,3.0,0.03333333333333499,5
"[-8.5, -1.5]","[2.0, -1.0]",20.8,20.833333333333332,"(35, 83)","(37, 84)",-8.5,2.0,0.03333333333333144,5
"[-7.5, -1.5]","[5.0, -1.5]",20.833333333333332,20.866666666666667,"(35, 83)","(38, 85)",-7.5,5.0,0.03333333333333499,5
"[-7.5, -1.5]","[3.5, -1.0]",20.866666666666667,20.9,"(35, 82)","(38, 85)",-7.5,3.5,0.03333333333333144,5
"[-7.0, -1.5]","[3.5, -1.0]",20.9,20.933333333333337,"(36, 83)","(37, 86)",-7.0,3.5,0.033333333333338544,5
"[-6.5, -2.0]","[3.0, -0.5]",20.933333333333337,20.966666666666665,"(36, 84)","(38, 86)",-6.5,3.0,0.033333333333327886,5
"[-7.0, -2.0]","[3.0, -1.0]",20.966666666666665,21.0,"(35, 82)","(37, 82)",-7.0,3.0,0.03333333333333499,5
"[-7.0, -1.5]","[5.0, -0.5]",21.0,21.03333333333333,"(36, 83)","(39, 84)",-7.0,5.0,0.03333333333333144,5
"[-7.5, -1.0]","[4.0, -0.5]",21.03333333333333,21.066666666666663,"(34, 84)","(37, 84)",-7.5,4.0,0.03333333333333144,5
"[-7.0, -1.0]","[5.0, -0.5]",21.066666666666663,21.1,"(35, 82)","(37, 83)",-7.0,5.0,0.033333333333338544,5
"[-7.0, -1.5]","[5.5, -0.5]",21.1,21.133333333333333,"(35, 84)","(38, 84)",-7.0,5.5,0.03333333333333144,5
"[-7.0, -1.5]","[6.0, -1.0]",21.133333333333333,21.166666666666668,"(36, 81)","(37, 80)",-7.0,6.0,0.03333333333333499,5
"[-6.5, -2.0]","[7.0, -0.5]",21.166666666666668,21.2,"(36, 83)","(37, 83)",-6.5,7.0,0.03333333333333144,5
"[-6.5, -2.0]","[5.5, -0.5]",21.2,21.233333333333334,"(35, 84)","(37, 82)",-6.5,5.5,0.03333333333333499,5
"[-6.0, -1.5]","[7.0, -0.5]",21.233333333333334,21.266666666666666,"(36, 83)","(37, 81)",-6.0,7.0,0.03333333333333144,5
"[-5.5, -2.0]","[7.5, -0.5]",21.266666666666666,21.3,"(35, 83)","(38, 82)",-5.5,7.5,0.03333333333333499,5
"[-4.5, -1.5]","[7.0, -1.0]",21.3,21.333333333333332,"(36, 84)","(38, 82)",-4.5,7.0,0.03333333333333144,5
"[-6.0, -2.0]","[8.0, -1.0]",21.333333333333332,21.366666666666667,"(36, 83)","(38, 81)",-6.0,8.0,0.03333333333333499,5
"[-4.5, -2.0]","[7.5, -1.0]",21.366666666666667,21.4,"(37, 83)","(38, 83)",-4.5,7.5,0.03333333333333144,5
"[-5.5, -1.5]","[7.5, 0.0]",21.4,21.433333333333337,"(36, 83)","(38, 82)",-5.5,7.5,0.033333333333338544,5
"[-4.5, -2.0]","[8.0, -1.0]",21.433333333333337,21.466666666666665,"(36, 82)","(39, 83)",-4.5,8.0,0.033333333333327886,5
"[-4.0, -2.0]","[7.5, -0.5]",21.466666666666665,21.5,"(36, 82)","(38, 83)",-4.0,7.5,0.03333333333333499,5
"[-3.0, -2.0]","[7.5, -1.0]",21.5,21.53333333333333,"(36, 85)","(39, 85)",-3.0,7.5,0.03333333333333144,5
"[-3.5, -2.0]","[7.5, -1.5]",21.53333333333333,21.566666666666663,"(36, 84)","(38, 83)",-3.5,7.5,0.03333333333333144,5
"[-2.0, -2.0]","[7.5, -1.0]",21.566666666666663,21.6,"(37, 83)","(38, 84)",-2.0,7.5,0.033333333333338544,5
"[-3.5, -1.5]","[8.0, -1.0]",21.6,21.633333333333333,"(37, 84)","(39, 84)",-3.5,8.0,0.03333333333333144,5
"[-2.0, -2.5]","[9.0, -0.5]",21.633333333333333,21.666666666666668,"(36, 83)","(38, 82)",-2.0,9.0,0.03333333333333499,5
"[-2.5, -2.0]","[8.0, -1.0]",21.666666666666668,21.7,"(36, 81)","(38, 79)",-2.5,8.0,0.03333333333333144,5
"[-9.5, -1.0]","[3.5, -1.0]",21.7,21.733333333333334,"(36, 83)","(37, 80)",-9.5,3.5,0.03333333333333499,5
"[-10.5, -2.0]","[2.0, -0.5]",21.733333333333334,21.766666666666666,"(37, 82)","(37, 80)",-10.5,2.0,0.03333333333333144,5
"[-9.0, -1.5]","[3.0, -0.5]",21.766666666666666,21.8,"(35, 82)","(37, 79)",-9.0,3.0,0.03333333333333499,5
"[-9.0, -1.5]","[4.5, -0.5]",21.8,21.833333333333332,"(36, 83)","(37, 79)",-9.0,4.5,0.03333333333333144,5
"[-8.5, -1.0]","[5.5, -0.5]",21.833333333333332,21.866666666666667,"(37, 84)","(38, 79)",-8.5,5.5,0.03333333333333499,5
"[-9.0, -1.5]","[4.5, -1.0]",21.866666666666667,21.9,"(36, 83)","(38, 80)",-9.0,4.5,0.03333333333333144,5
"[-9.5, -1.0]","[2.0, -1.0]",21.9,21.933333333333337,"(36, 82)","(38, 80)",-9.5,2.0,0.033333333333338544,5
"[-10.0, -2.0]","[3.0, -1.0]",21.933333333333337,21.966666666666665,"(36, 80)","(38, 80)",-10.0,3.0,0.033333333333327886,5
"[-9.0, -1.0]","[5.0, -1.0]",21.966666666666665,22.0,"(34, 80)","(37, 82)",-9.0,5.0,0.03333333333333499,5
"[-8.0, -1.0]","[4.0, -0.5]",22.0,22.03333333333333,"(35, 81)","(37, 85)",-8.0,4.0,0.03333333333333144,5
"[-7.5, -1.5]","[4.5, -0.5]",22.03333333333333,22.066666666666663,"(34, 80)","(37, 85)",-7.5,4.5,0.03333333333333144,5
"[-7.0, -2.0]","[3.5, -1.5]",22.066666666666663,22.1,"(34, 77)","(37, 78)",-7.0,3.5,0.033333333333338544,5
"[-6.5, -1.0]","[4.0, -0.5]",22.1,22.133333333333333,"(34, 80)","(37, 77)",-6.5,4.0,0.03333333333333144,5
"[-9.0, -2.0]","[3.5, -0.5]",22.133333333333333,22.166666666666668,"(36, 81)","(38, 78)",-9.0,3.5,0.03333333333333499,5
"[-8.5, -2.0]","[3.0, -1.0]",22.166666666666668,22.2,"(35, 83)","(37, 81)",-8.5,3.0,0.03333333333333144,5
"[-9.5, -1.5]","[1.5, -1.5]",22.2,22.233333333333334,"(35, 82)","(37, 79)",-9.5,1.5,0.03333333333333499,5
"[-9.0, -1.5]","[2.5, -0.5]",22.233333333333334,22.266666666666666,"(35, 83)","(38, 83)",-9.0,2.5,0.03333333333333144,5
"[-9.5, -1.5]","[1.5, -1.0]",22.266666666666666,22.3,"(36, 83)","(38, 81)",-9.5,1.5,0.03333333333333499,5
"[-9.5, -2.0]","[2.5, -1.0]",22.3,22.333333333333332,"(36, 83)","(39, 81)",-9.5,2.5,0.03333333333333144,5
"[-9.5, -2.0]","[2.5, -1.5]",22.333333333333332,22.366666666666667,"(31, 79)","(34, 76)",-9.5,2.5,0.03333333333333499,5
"[-5.5, -0.5]","[3.0, 0.0]",22.366666666666667,22.4,"(32, 83)","(35, 82)",-5.5,3.0,0.03333333333333144,5
"[-9.5, -2.0]","[3.0, -1.5]",22.4,22.433333333333337,"(36, 84)","(38, 83)",-9.5,3.0,0.033333333333338544,5
"[-9.0, -3.0]","[3.5, -1.0]",22.433333333333337,22.466666666666665,"(36, 82)","(38, 81)",-9.0,3.5,0.033333333333327886,5
"[-9.0, -3.0]","[3.5, -1.0]",22.466666666666665,22.5,"(37, 83)","(39, 80)",-9.0,3.5,0.03333333333333499,5
"[-8.5, -2.5]","[4.0, -0.5]",22.5,22.53333333333333,"(36, 85)","(39, 82)",-8.5,4.0,0.03333333333333144,5
"[-8.5, -2.0]","[3.0, -1.5]",22.53333333333333,22.566666666666663,"(37, 85)","(38, 82)",-8.5,3.0,0.03333333333333144,5
"[-8.5, -2.5]","[4.0, -1.0]",22.566666666666663,22.6,"(38, 83)","(39, 81)",-8.5,4.0,0.033333333333338544,5
