left_eye_from_center,right_eye_from_center,start_time,end_time,left_eye_dim,right_eye_dim,left_eye_x,right_eye_x,duration,slide
"[-2.0, -2.5]","[9.0, -1.0]",1.4333333333333331,1.4666666666666666,"(45, 94)","(44, 90)",-2.0,9.0,0.03333333333333344,0
"[-2.0, -2.5]","[9.0, -1.0]",1.4666666666666666,1.5,"(45, 94)","(44, 90)",-2.0,9.0,0.03333333333333344,0
"[-2.0, -2.5]","[9.0, -1.0]",1.5,1.5333333333333332,"(45, 94)","(44, 90)",-2.0,9.0,0.033333333333333215,0
"[-2.0, -2.5]","[9.0, -1.0]",1.5333333333333332,1.5666666666666669,"(45, 94)","(44, 90)",-2.0,9.0,0.03333333333333366,0
"[-2.0, -2.5]","[9.0, -1.0]",1.5666666666666669,1.6,"(39, 92)","(40, 90)",-2.0,9.0,0.033333333333333215,0
"[-9.0, -1.5]","[5.0, -1.0]",1.6,1.6333333333333333,"(37, 92)","(37, 92)",-9.0,5.0,0.033333333333333215,0
"[-9.0, -1.5]","[4.0, -0.5]",1.6333333333333333,1.6666666666666667,"(38, 91)","(38, 92)",-9.0,4.0,0.03333333333333344,0
"[-9.5, -2.0]","[5.0, -1.0]",1.6666666666666667,1.7,"(38, 95)","(39, 94)",-9.5,5.0,0.033333333333333215,0
"[-9.5, -2.0]","[5.0, -0.5]",1.7,1.7333333333333334,"(38, 93)","(39, 95)",-9.5,5.0,0.03333333333333344,0
"[-9.5, -2.0]","[2.5, -0.5]",1.7333333333333334,1.7666666666666666,"(38, 91)","(38, 92)",-9.5,2.5,0.033333333333333215,0
"[-9.5, -2.0]","[4.0, -1.0]",1.7666666666666666,1.8,"(38, 93)","(38, 94)",-9.5,4.0,0.03333333333333344,0
"[-9.5, -2.0]","[1.0, -1.0]",1.8,1.8333333333333333,"(38, 92)","(37, 93)",-9.5,1.0,0.033333333333333215,0
"[-9.0, -1.0]","[3.5, -0.5]",1.8333333333333333,1.8666666666666667,"(37, 91)","(38, 95)",-9.0,3.5,0.03333333333333344,0
"[-9.5, -1.5]","[1.5, -1.0]",1.8666666666666667,1.9,"(38, 91)","(39, 90)",-9.5,1.5,0.033333333333333215,0
"[-9.5, -2.0]","[4.0, -0.5]",1.9,1.9333333333333331,"(41, 91)","(41, 93)",-9.5,4.0,0.033333333333333215,0
"[-9.5, -1.5]","[2.5, -1.5]",1.9333333333333331,1.9666666666666663,"(40, 90)","(41, 91)",-9.5,2.5,0.033333333333333215,0
"[-10.0, -1.0]","[3.5, -1.5]",1.9666666666666663,2.0,"(40, 87)","(40, 87)",-10.0,3.5,0.03333333333333366,0
"[-9.5, -1.0]","[1.5, -1.0]",2.0,2.033333333333333,"(39, 86)","(41, 84)",-9.5,1.5,0.033333333333333215,0
"[-10.0, -1.5]","[3.0, -1.5]",2.033333333333333,2.0666666666666664,"(39, 83)","(41, 82)",-10.0,3.0,0.033333333333333215,0
"[-9.5, -1.5]","[1.0, -1.5]",2.0666666666666664,2.1,"(38, 85)","(41, 86)",-9.5,1.0,0.03333333333333366,0
"[-7.5, -1.0]","[4.0, -0.5]",2.1,2.1333333333333333,"(38, 85)","(41, 86)",-7.5,4.0,0.033333333333333215,0
"[-9.5, -1.0]","[3.0, -1.5]",2.1333333333333333,2.1666666666666665,"(38, 84)","(40, 85)",-9.5,3.0,0.033333333333333215,0
"[-9.0, -1.0]","[4.5, -1.0]",2.1666666666666665,2.2,"(38, 85)","(39, 84)",-9.0,4.5,0.03333333333333366,0
"[-8.5, -1.0]","[4.0, -0.5]",2.2,2.2333333333333334,"(38, 85)","(41, 86)",-8.5,4.0,0.033333333333333215,0
"[-8.5, -1.0]","[5.0, -0.5]",2.2333333333333334,2.2666666666666666,"(38, 87)","(41, 85)",-8.5,5.0,0.033333333333333215,0
"[-10.5, -2.0]","[2.5, -0.5]",2.2666666666666666,2.3,"(40, 88)","(41, 84)",-10.5,2.5,0.033333333333333215,0
"[-12.0, -3.0]","[4.0, -0.5]",2.3,2.3333333333333335,"(39, 88)","(41, 83)",-12.0,4.0,0.03333333333333366,0
"[-12.0, -2.5]","[3.5, -1.5]",2.3333333333333335,2.3666666666666667,"(39, 87)","(40, 83)",-12.0,3.5,0.033333333333333215,0
"[-10.5, -2.5]","[4.5, -1.0]",2.3666666666666667,2.4,"(37, 87)","(39, 88)",-10.5,4.5,0.033333333333333215,0
"[-10.5, -0.5]","[3.0, -1.5]",2.4,2.433333333333333,"(37, 85)","(37, 88)",-10.5,3.0,0.033333333333333215,0
"[-7.5, -1.5]","[7.0, -0.5]",2.433333333333333,2.466666666666667,"(39, 84)","(38, 89)",-7.5,7.0,0.03333333333333366,0
"[-7.0, -1.5]","[6.5, -2.0]",2.466666666666667,2.5,"(39, 85)","(38, 90)",-7.0,6.5,0.033333333333333215,0
"[-5.5, -0.5]","[7.0, -1.0]",2.5,2.533333333333333,"(38, 86)","(39, 92)",-5.5,7.0,0.033333333333333215,0
"[-7.0, -1.0]","[5.0, -1.5]",2.533333333333333,2.5666666666666664,"(38, 87)","(38, 92)",-7.0,5.0,0.033333333333333215,0
"[-6.5, -1.0]","[7.0, -1.0]",2.5666666666666664,2.6,"(38, 88)","(39, 91)",-6.5,7.0,0.03333333333333366,0
"[-7.0, -1.0]","[5.5, -0.5]",2.6,2.6333333333333333,"(38, 87)","(38, 91)",-7.0,5.5,0.033333333333333215,0
"[-6.5, -1.0]","[6.5, -1.0]",2.6333333333333333,2.6666666666666665,"(38, 88)","(39, 91)",-6.5,6.5,0.033333333333333215,0
"[-7.0, -2.0]","[7.5, -0.5]",2.6666666666666665,2.7,"(38, 88)","(40, 91)",-7.0,7.5,0.03333333333333366,0
